CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-2-21,13,7,0,4,1,-4,93,70,45,1013,1008,1005,14,10,8,21,8,,0.00,2,,270
2013-2-22,6,1,-3,-4,-6,-7,80,62,42,1006,1004,1003,24,11,10,23,13,34,0.00,3,,303
2013-2-23,-1,-2,-4,-6,-8,-10,74,63,46,1017,1011,1004,14,10,6,35,21,,0.00,6,Snow,301
2013-2-24,1,-1,-2,-1,-6,-9,93,72,49,1021,1018,1017,10,7,2,34,24,50,0.00,8,Snow,288
2013-2-25,2,1,-1,0,-1,-2,93,90,75,1022,1020,1018,10,6,1,23,19,,0.25,7,Rain-Snow,279
2013-2-26,4,1,-2,-1,-2,-4,100,83,61,1024,1023,1021,10,7,3,11,6,,0.00,6,,322
2013-2-27,8,1,-7,1,-2,-8,100,81,47,1026,1023,1021,10,4,0,10,3,,0.00,3,Fog,354
2013-2-28,12,5,-2,2,0,-4,93,71,46,1023,1020,1018,31,9,3,26,8,,0.00,4,,88
2013-3-1,13,8,2,1,0,-1,81,61,33,1019,1017,1016,31,11,9,26,8,,0.00,4,,302
2013-3-2,9,4,0,1,-1,-2,87,71,50,1021,1019,1018,11,8,5,23,13,,0.00,,,296
2013-3-3,14,7,-1,5,1,-2,93,73,44,1020,1016,1013,13,8,2,23,8,,0.00,1,,140
2013-3-4,15,11,7,7,6,4,87,69,39,1013,1008,1005,19,10,5,58,29,87,0.00,3,,121
2013-3-5,14,12,11,9,8,6,88,73,58,1005,1001,998,29,11,10,60,50,93,2.03,8,Rain,112
2013-3-6,12,11,10,9,8,7,88,83,72,999,996,995,31,11,10,45,31,64,2.03,7,Rain,122
2013-3-7,18,13,8,12,9,7,93,79,60,1001,999,995,18,10,10,37,19,60,3.05,6,Rain,138
2013-3-8,18,14,11,10,7,6,94,67,43,1005,1003,998,31,11,7,32,18,52,3.05,6,Rain,274
2013-3-9,17,13,9,10,7,4,94,69,36,1005,1004,1003,31,10,5,14,6,,0.00,7,Rain,145
2013-3-10,18,12,6,8,6,3,93,67,39,1004,1001,999,31,10,10,19,6,,0.00,4,,241
2013-3-11,16,12,8,7,5,3,87,65,39,1002,1000,997,31,10,10,35,10,60,0.00,4,Rain,250
2013-3-12,11,8,5,6,3,1,82,70,54,1003,1001,999,31,11,9,32,21,,1.02,6,Rain,289
2013-3-13,1,0,-1,1,-1,-3,100,87,66,1013,1006,1000,31,8,2,34,21,,0.51,7,Rain-Snow,288
2013-3-14,7,3,-1,0,-2,-4,87,71,40,1017,1013,1012,26,10,9,37,24,,0.00,6,Snow,291
2013-3-15,9,3,-2,-2,-3,-5,86,61,32,1021,1019,1017,31,11,10,23,13,,0.00,3,,300
2013-3-16,12,6,-1,4,0,-4,81,63,40,1017,1010,1005,26,10,8,35,13,,0.00,7,Rain,140
2013-3-17,11,8,6,9,6,3,93,85,70,1006,1001,998,26,10,9,16,6,,4.06,7,Rain,194
2013-3-18,9,6,3,5,3,1,93,80,62,1006,1001,998,11,10,7,50,18,77,1.02,6,Rain,254
2013-3-19,14,9,4,6,4,1,93,71,41,1007,1004,1001,31,11,10,29,14,,0.00,5,Rain,163
2013-3-20,13,10,5,7,6,2,93,77,45,1018,1010,1002,10,10,10,34,16,48,1.02,6,Rain,273
2013-3-21,18,9,1,6,3,0,100,68,27,1019,1014,1011,31,11,10,24,11,,0.00,3,,146
2013-3-22,16,11,7,10,7,4,88,74,53,1010,1005,1002,26,10,10,37,21,,0.00,6,,145
2013-3-23,16,12,9,10,9,8,94,81,67,1008,1004,1001,26,10,9,27,11,,0.25,7,Rain,132
2013-3-24,17,12,8,10,8,6,100,76,48,1004,1001,999,31,10,5,24,6,,0.00,6,,204
2013-3-25,16,13,10,9,7,4,94,75,49,1007,1005,1002,26,10,10,32,19,,0.25,6,Rain,282
2013-3-26,15,12,8,8,7,6,93,78,53,1005,1004,1002,19,10,5,16,10,,3.05,6,Rain,285
2013-3-27,14,11,8,7,6,4,87,69,48,1004,1002,1001,18,10,7,23,10,,0.51,7,Rain,137
2013-3-28,12,10,8,10,8,6,100,87,70,1010,1006,1003,18,10,5,26,10,,0.51,8,Rain,233
2013-3-29,19,13,7,12,9,6,100,77,45,1009,1005,1001,31,9,3,29,10,,0.51,5,Rain,132
2013-3-30,15,12,10,12,9,7,100,83,58,1010,1005,1000,31,10,4,42,19,63,5.08,6,Rain-Thunderstorm,280
2013-3-31,14,11,8,8,6,4,93,75,49,1010,1007,1000,26,10,6,21,14,,0.76,6,Rain,331
2013-4-1,11,9,7,9,5,1,94,75,54,1001,999,996,18,9,2,27,14,48,3.05,7,Rain,159
2013-4-2,13,11,9,9,7,4,94,76,49,1010,1005,1001,31,10,6,34,24,,3.05,6,Rain,270
2013-4-3,16,9,3,6,4,3,100,69,36,1011,1006,1001,19,10,6,16,10,,0.00,2,,91
2013-4-4,12,10,8,9,7,5,100,80,63,1005,1000,998,26,9,0,27,11,,7.87,8,Fog-Rain,148
2013-4-5,9,7,5,6,2,1,93,73,51,1011,1008,1005,16,9,5,35,18,,0.51,7,Rain,275
2013-4-6,7,4,2,4,3,1,93,82,70,1021,1015,1011,24,9,5,29,16,,2.03,7,Rain,297
2013-4-7,11,8,4,3,2,1,81,69,51,1022,1017,1011,11,9,3,24,11,,0.00,7,,311
2013-4-8,14,10,6,8,5,3,93,75,52,1011,1009,1008,31,9,3,35,11,48,2.03,6,Rain,240
2013-4-9,14,9,5,8,6,4,87,72,53,1014,1009,1005,10,10,10,27,13,47,0.00,7,Rain,236
2013-4-10,20,14,8,8,6,4,82,61,33,1016,1013,1010,31,11,10,21,8,,0.00,3,,170
2013-4-11,21,16,10,12,9,7,94,77,52,1012,1009,1005,31,11,10,52,13,,1.02,6,Rain,175
2013-4-12,18,13,8,9,8,6,94,74,41,1019,1015,1012,31,10,7,32,8,,0.00,4,Rain,250
2013-4-13,22,16,9,9,8,6,88,61,30,1022,1020,1019,26,10,10,23,8,,0.00,7,Rain,127
2013-4-14,21,16,10,12,9,6,82,64,40,1022,1021,1019,31,11,10,39,21,50,0.00,1,,138
2013-4-15,22,17,11,12,10,8,82,68,49,1023,1021,1020,31,11,10,24,16,,0.00,5,,154
2013-4-16,24,18,11,14,12,10,94,70,44,1024,1022,1021,31,11,10,16,6,,0.00,2,,272
2013-4-17,26,19,12,13,11,7,94,61,35,1022,1020,1018,14,10,10,32,11,,0.00,1,,148
2013-4-18,17,14,13,12,10,6,88,75,52,1026,1024,1021,31,11,10,23,14,,0.00,8,,295
2013-4-19,12,10,8,8,6,4,93,76,57,1029,1027,1025,19,10,10,24,18,,2.03,8,Rain,277
2013-4-20,15,10,6,6,3,1,87,62,31,1028,1025,1022,31,10,10,34,21,,0.00,4,,300
2013-4-21,16,9,3,5,3,1,87,60,36,1024,1021,1019,31,11,10,23,11,,0.00,7,,295
2013-4-22,16,11,6,5,3,1,76,56,29,1022,1020,1019,10,10,10,27,18,,0.00,3,,294
2013-4-23,18,12,7,8,6,4,87,63,34,1025,1024,1022,26,10,10,16,10,,0.00,5,,311
2013-4-24,21,14,7,8,5,3,87,55,26,1025,1024,1023,31,11,10,40,11,61,0.00,1,,111
